,actual,prediction
546,-4.1748753,-4.411958
547,-4.254576,-4.7734284
548,-4.2512126,-4.687197
549,-4.2659903,-4.773027
550,-4.7478333,-4.69548
551,-4.7538667,-4.7550855
552,-5.0898023,-4.6802735
553,-5.161128,-4.757828
554,-4.9640646,-4.299829
555,-4.7088547,-4.307957
556,-4.5150967,-4.271976
557,-4.5147843,-4.7714553
558,-4.521765,-4.730367
559,-4.5166335,-4.729486
560,-4.458974,-4.4095397
561,-4.429889,-4.5893183
562,-4.5612206,-4.732359
563,-4.7290483,-4.744946
564,-4.9634175,-4.5060196
565,-4.904196,-4.642462
566,-4.912107,-4.7484965
567,-4.929182,-4.767649
568,-5.1323404,-4.740645
569,-5.2155156,-4.7014575
570,-5.25009,-4.7737565
571,-5.2729244,-4.770758
572,-5.627155,-4.773149
573,-5.8860784,-4.7524037
574,-5.9202433,-4.7591996
575,-5.8082824,-4.7296634
576,-5.666927,-4.678784
577,-5.713818,-4.7239447
578,-5.634981,-4.7346954
579,-5.480075,-4.67351
580,-5.4464192,-4.747733
581,-5.410068,-4.72296
582,-5.4242787,-4.770965
583,-5.436561,-4.7395663
584,-5.565748,-4.769454
585,-5.602283,-4.7456155
586,-5.656049,-4.76384
587,-5.8985486,-4.7721705
588,-5.878643,-4.7413135
589,-5.6945786,-4.64976
590,-5.6660147,-4.756992
591,-5.7391047,-4.773792
592,-5.7403536,-4.769996
593,-5.780909,-4.7625136
594,-5.796556,-4.770002
595,-5.774438,-4.763404
596,-5.7506604,-4.731446
597,-6.1885405,-4.773724
598,-6.149858,-4.7498727
599,-6.07181,-4.7576385
600,-6.070731,-4.769755
601,-6.066894,-4.7616506
602,-5.974802,-4.747174
603,-5.716792,-4.671754
604,-5.808397,-4.769507
605,-5.753869,-4.751913
606,-5.8066015,-4.7710037
607,-5.8396187,-4.769778
608,-5.7526455,-4.735967
609,-5.1068053,-4.3330064
610,-5.071301,-4.690503
611,-4.5651884,-4.179321
612,-4.457585,-4.3398633
613,-4.4525423,-4.723317
614,-4.432949,-4.657109
615,-4.2876043,-4.2565246
616,-4.2859726,-4.7230134
617,-4.355054,-4.716336
618,-4.367098,-4.7729316
619,-4.6561823,-4.7080064
620,-4.6674323,-4.35444
621,-4.6153173,-4.528342
622,-4.643085,-4.768283
623,-5.0045915,-4.7719965
624,-4.9993873,-4.7131286
625,-5.028456,-4.7702546
626,-4.092549,-3.8636253
627,-4.098159,-4.77333
628,-4.131195,-4.635591
629,-4.128388,-4.5029845
630,-4.06758,-4.303243
631,-4.022031,-4.327981
632,-3.882721,-4.0837445
633,-3.8658764,-4.4829974
634,-4.24622,-4.726168
635,-4.245624,-4.768194
636,-4.19756,-4.3323007
637,-4.205019,-4.5613856
638,-4.24417,-4.441939
639,-4.300589,-4.646308
640,-4.7281446,-4.7667465
641,-4.8190165,-4.7379684
642,-4.8149176,-4.7148967
643,-4.8066196,-4.7450905
644,-4.9043665,-4.4704013
645,-4.740594,-4.31152
646,-4.8444176,-4.7160044
647,-4.7863045,-4.500321
648,-4.746984,-4.6471395
649,-4.6683154,-4.4858575
650,-4.6594934,-4.681948
651,-4.282433,-4.0946555
652,-4.276048,-4.4276285
653,-4.3016033,-4.372249
654,-4.2530293,-4.3755975
655,-4.282072,-4.7255807
656,-4.2890625,-4.7027774
657,-4.329171,-4.773133
658,-4.3417134,-4.772303
